entity_id	business_name	business_address	country
S1-00001	Acme Corporation	123 Main Street, Springfield, IL 62701	US
S1-00002	Global Tech Solutions Inc	500 Silicon Ave, San Jose, CA 95101	US
S1-00003	Springfield Bakery & Cafe	45 Baker Road, Springfield, IL 62702	US
S1-00004	Sunrise Hotels Limited	Near Airport, Andheri East, Mumbai 400069	India
S1-00005	Sharma Enterprises Pvt Ltd	Plot 12, Okhla Industrial Area, New Delhi 110020	India
S1-00006	Café de Paris SARL	10 Rue de Rivoli, 75001 Paris, France	France
S1-00007	TechVision International Corp	200 Innovation Blvd, Austin, TX 78701	US
S1-00008	Mumbai Spice Traders Private	Shop 5, Crawford Market, Mumbai 400001	India
S1-00009	Lyon Textiles SAS	42 Avenue Jean Jaurès, 69007 Lyon, France	France
S1-00010	DataStream Analytics LLC	300 Market Street Suite 1200, San Francisco, CA 94105	US
S1-00011	Unique Solutions Corp	999 Nowhere Lane, Remote, WY 82001	US
S1-00012	Paris Boutique SNC	7 Rue du Faubourg, 75008 Paris, France	France
